analysis_date,domain,coverage,coverage_pct,states_covered,mean_strength,strength_variance,binary_heterogeneity
2026-08-25,antidiscrimination,0.17281749553930648,17.28174955393065,6,0.4789751758955196,1.1285536871176152,0.28590321754965653
2026-08-25,child_safety,0.22585986014002954,22.585986014002955,5,0.5624331419691891,1.1406755098204342,0.3496943674351117
2026-08-25,consumer_notice,0.3427547844812797,34.27547844812797,9,0.3427547844812797,0.22527394219647118,0.4505478843929424
2026-08-25,developer_documentation,0.13057589324386012,13.057589324386013,4,0.13057589324386012,0.11352582934742818,0.22705165869485636
2026-08-25,explanation_appeal,0.12062770235604675,12.062770235604676,3,0.36188310706814025,0.9546899380231297,0.2121533195606955
2026-08-25,frontier_safety,0.11514643845089954,11.514643845089955,1,0.3454393153526986,0.9169896254667547,0.20377547232594548
2026-08-25,government_use,0.10238022043205969,10.23802204320597,2,0.30714066129617906,0.8270865980670828,0.18379702179268512
2026-08-25,harmful_use_restriction,0.2258190976553417,22.58190976553417,5,0.5623108545151255,1.140446189538047,0.3496496655789379
2026-08-25,health_restriction,0.2730717996672392,27.307179966723922,5,0.8192153990017176,1.7865323270436095,0.3970071837874688
2026-08-25,human_oversight,0.09193952088989127,9.193952088989127,6,0.19348212375599777,0.37833816122751,0.16697329077685705
2026-08-25,impact_assessment,0.10356900335113442,10.356900335113442,2,0.20713800670226884,0.3713698595839485,0.18568492979197426
2026-08-25,incident_reporting,0.207923576906744,20.7923576906744,2,0.207923576906744,0.16469136307304932,0.32938272614609865
2026-08-25,infrastructure,0.0,0.0,0,0.0,0.0,0.0
2026-08-25,model_evaluation,0.12146258428295435,12.146258428295436,3,0.2429251685659087,0.4268376996090424,0.21341884980452114
2026-08-25,public_transparency,0.13505161230709528,13.505161230709529,3,0.13505161230709528,0.1168126743203493,0.23362534864069862
2026-08-25,risk_management,0.2074325370126038,20.743253701260382,8,0.4148650740252076,0.6576171184044741,0.3288085592022371
2026-08-25,synthetic_content,0.11514643845089954,11.514643845089955,1,0.3454393153526986,0.9169896254667547,0.20377547232594548
2026-08-25,whistleblower_protection,0.11514643845089954,11.514643845089955,1,0.3454393153526986,0.9169896254667547,0.20377547232594548
