analysis_date,domain,coverage,coverage_pct,states_covered,mean_strength,strength_variance
2026-08-25,antidiscrimination,0.11764705882352941,11.76470588235294,6,0.29411764705882354,0.6782006920415225
2026-08-25,child_safety,0.09803921568627451,9.803921568627452,5,0.27450980392156865,0.708958093041138
2026-08-25,consumer_notice,0.17647058823529413,17.647058823529413,9,0.17647058823529413,0.14532871972318338
2026-08-25,developer_documentation,0.0784313725490196,7.8431372549019605,4,0.0784313725490196,0.0722798923490965
2026-08-25,explanation_appeal,0.058823529411764705,5.88235294117647,3,0.17647058823529413,0.49826989619377154
2026-08-25,frontier_safety,0.0196078431372549,1.9607843137254901,1,0.058823529411764705,0.16955017301038062
2026-08-25,government_use,0.0392156862745098,3.9215686274509802,2,0.11764705882352941,0.33910034602076124
2026-08-25,harmful_use_restriction,0.09803921568627451,9.803921568627452,5,0.29411764705882354,0.7958477508650519
2026-08-25,health_restriction,0.09803921568627451,9.803921568627452,5,0.29411764705882354,0.7958477508650519
2026-08-25,human_oversight,0.11764705882352941,11.76470588235294,6,0.27450980392156865,0.5121107266435986
2026-08-25,impact_assessment,0.0392156862745098,3.9215686274509802,2,0.09803921568627451,0.2845059592464437
2026-08-25,incident_reporting,0.0392156862745098,3.9215686274509802,2,0.0784313725490196,0.1507112648981161
2026-08-25,infrastructure,0.0,0.0,0,0.0,0.0
2026-08-25,model_evaluation,0.058823529411764705,5.88235294117647,3,0.17647058823529413,0.49826989619377154
2026-08-25,public_transparency,0.058823529411764705,5.88235294117647,3,0.0784313725490196,0.11149557862360632
2026-08-25,risk_management,0.1568627450980392,15.686274509803921,8,0.3137254901960784,0.5294117647058824
2026-08-25,synthetic_content,0.0196078431372549,1.9607843137254901,1,0.0196078431372549,0.019223375624759708
2026-08-25,whistleblower_protection,0.0196078431372549,1.9607843137254901,1,0.058823529411764705,0.16955017301038062
2027-01-01,antidiscrimination,0.11764705882352941,11.76470588235294,6,0.29411764705882354,0.6782006920415225
2027-01-01,child_safety,0.19607843137254902,19.607843137254903,10,0.49019607843137253,1.1122645136485968
2027-01-01,consumer_notice,0.27450980392156865,27.450980392156865,14,0.29411764705882354,0.24605920799692425
2027-01-01,developer_documentation,0.13725490196078433,13.725490196078432,7,0.13725490196078433,0.11880046136101499
2027-01-01,explanation_appeal,0.0784313725490196,7.8431372549019605,4,0.23529411764705882,0.6505190311418684
2027-01-01,frontier_safety,0.0392156862745098,3.9215686274509802,2,0.11764705882352941,0.33910034602076124
2027-01-01,government_use,0.0392156862745098,3.9215686274509802,2,0.11764705882352941,0.33910034602076124
2027-01-01,harmful_use_restriction,0.1568627450980392,15.686274509803921,8,0.4117647058823529,0.9861591695501731
2027-01-01,health_restriction,0.11764705882352941,11.76470588235294,6,0.35294117647058826,0.9342560553633218
2027-01-01,human_oversight,0.13725490196078433,13.725490196078432,7,0.3137254901960784,0.568242983467897
2027-01-01,impact_assessment,0.0392156862745098,3.9215686274509802,2,0.09803921568627451,0.2845059592464437
2027-01-01,incident_reporting,0.058823529411764705,5.88235294117647,3,0.11764705882352941,0.22145328719723184
2027-01-01,infrastructure,0.0,0.0,0,0.0,0.0
2027-01-01,model_evaluation,0.0784313725490196,7.8431372549019605,4,0.23529411764705882,0.6505190311418684
2027-01-01,public_transparency,0.11764705882352941,11.76470588235294,6,0.17647058823529413,0.26336024605920794
2027-01-01,risk_management,0.17647058823529413,17.647058823529413,9,0.35294117647058826,0.5805459438677432
2027-01-01,synthetic_content,0.0196078431372549,1.9607843137254901,1,0.0196078431372549,0.019223375624759708
2027-01-01,whistleblower_protection,0.0392156862745098,3.9215686274509802,2,0.11764705882352941,0.33910034602076124
